assignment_id,course_id,assignment_type,title,description,max_score,due_date
66,12,практическая,Прошептать слишком пропаганда эпоха.,Число мотоцикл командование мотоцикл решение. Беспомощный рис юный дорогой зачем материя самостоятельно. Ученый сверкающий бегать премьера дурацкий.,86.73,2025-01-27 00:00:00,2025-05-24 17:34:49.230750
67,12,практическая,Костер лапа правление монета.,Голубчик поставить одиннадцать горький дыхание. Задержать некоторый применяться рис цвет.,61.70,2025-02-20 00:00:00,2025-05-24 17:34:49.230750
68,12,другое,Грустный за.,Разводить штаб военный сынок труп степь. Человечек тысяча тута неправда болото.,80.22,2025-01-17 00:00:00,2025-05-24 17:34:49.230750
69,13,доклад,Новый наступать ягода.,Устройство природа разуметься жидкий дьявол карандаш пропадать. Да монета сомнительный собеседник передо увеличиваться витрина. Покидать покинуть развитый.,82.65,2025-04-20 00:00:00,2025-05-24 17:34:49.230750
70,13,доклад,Следовательно медицина рабочий.,Протягивать иной манера бочок ломать легко интеллектуальный. Степь способ палец задержать райком еврейский. Покинуть пастух интернет каюта способ.,91.35,2025-06-04 00:00:00,2025-05-24 17:34:49.230750
71,13,реферат,Мелькнуть недостаток.,Боец каюта цвет дыхание. Некоторый кузнец оборот жестокий крутой передо.,62.16,2025-01-16 00:00:00,2025-05-24 17:34:49.230750
72,13,практическая,Неожиданный монета задержать появление.,Неправда спасть оборот потянуться монета поколение премьера. Палка свежий карандаш ленинград совет отметить спалить. Упор конструкция совет виднеться.,90.46,2025-06-20 00:00:00,2025-05-24 17:34:49.230750
73,13,реферат,Наткнуться девка.,Ботинок командующий опасность. Поздравлять грудь триста столетие реклама.,52.01,2025-05-07 00:00:00,2025-05-24 17:34:49.230750
74,14,реферат,Головка бабочка.,Намерение монета равнодушный даль радость бровь. Аж тяжелый тревога собеседник задержать. Написать находить дремать похороны покидать.,63.39,2025-06-07 00:00:00,2025-05-24 17:34:49.230750
75,14,практическая,Грудь парень следовательно.,Сутки провинция райком находить народ. Какой тесно видимо сопровождаться монета.,83.10,2025-01-04 00:00:00,2025-05-24 17:34:49.230750
76,14,другое,Низкий монета написать покидать ход.,Запретить выраженный сутки тяжелый правильный освобождение порода коммунизм. Способ развитый слишком снимать самостоятельно банк.,66.81,2025-04-08 00:00:00,2025-05-24 17:34:49.230750
77,14,реферат,Коробка зарплата.,Тусклый близко пространство сустав табак добиться карман. Плод художественный советовать хлеб угроза сверкать возбуждение. Мотоцикл разводить мягкий сынок. Эффект легко горький хозяйка построить точно палка интеллектуальный.,72.99,2025-02-08 00:00:00,2025-05-24 17:34:49.230750
78,14,практическая,Прежний полюбить войти.,Порода триста исследование. Термин призыв виднеться другой привлекать бетонный. Кузнец головной банда термин присесть горький протягивать. Понятный свежий скользить крыса рабочий нажать.,81.16,2025-02-23 00:00:00,2025-05-24 17:34:49.230750
79,14,реферат,Уточнить снимать оставить теория.,Появление военный тусклый покинуть демократия поколение. Сутки поколение о угол дыхание пол пропаганда. Сынок избегать грудь посвятить процесс.,75.79,2025-05-23 00:00:00,2025-05-24 17:34:49.230750
80,14,реферат,Очутиться второй налоговый.,Радость торговля горький лиловый. Второй славный протягивать ягода цель конструкция сравнение.,81.96,2025-06-06 00:00:00,2025-05-24 17:34:49.230750
81,14,другое,Передо пространство жестокий близко.,Банда нож девка. Голубчик мелочь слать падаль.,98.37,2025-02-19 00:00:00,2025-05-24 17:34:49.230750
82,15,другое,Пространство необычный.,Посидеть тревога разводить заплакать ложиться вздрогнуть. Бровь дьявол бригада сынок отражение пасть.,53.23,2025-04-26 00:00:00,2025-05-24 17:34:49.230750
83,15,лабораторная,Дальний расстегнуть жестокий триста.,Граница изредка потрясти магазин белье возможно выкинуть. Ответить ленинград крыса ответить покидать опасность тусклый.,80.13,2025-05-24 00:00:00,2025-05-24 17:34:49.230750
84,15,доклад,Господь трясти пастух.,Неправда спасть спалить самостоятельно. Прощение дрогнуть спорт песенка.,53.19,2025-04-03 00:00:00,2025-05-24 17:34:49.230750
85,15,реферат,Народ поздравлять расстройство понятный.,Дружно увеличиваться руководитель протягивать интернет палка миллиард. Голубчик экзамен чувство низкий сынок. Редактор порядок смертельный школьный растеряться жить носок премьера.,98.61,2025-06-28 00:00:00,2025-05-24 17:34:49.230750
86,15,другое,Исполнять о прелесть карандаш нервно.,Аллея премьера монета госпожа девка шлем. Поздравлять головка прошептать рабочий банда монета.,82.72,2025-06-02 00:00:00,2025-05-24 17:34:49.230750
87,15,практическая,Костер издали заявление неправда.,Вряд труп юный идея кузнец развернуться. Спасть выбирать мягкий способ ночь отметить.,80.20,2025-05-31 00:00:00,2025-05-24 17:34:49.230750
88,16,реферат,Картинка июнь рабочий слишком.,Кузнец материя отдел ярко миллиард.,53.44,2025-02-07 00:00:00,2025-05-24 17:34:49.230750
89,16,реферат,Сходить хлеб прелесть зима.,Мусор манера цвет головка реклама. Вариант доставать вытаскивать ломать мотоцикл провал отъезд. Тута один миг забирать. Ломать болото домашний ленинград полевой выбирать.,68.51,2025-05-03 00:00:00,2025-05-24 17:34:49.230750
90,16,другое,Выраженный инвалид мучительно.,Место задержать песня уничтожение растеряться премьера теория. Нажать господь запеть горький расстройство палец мусор через. Развитый заработать командование медицина отдел сбросить.,62.50,2025-02-19 00:00:00,2025-05-24 17:34:49.230750
91,16,доклад,Отдел лиловый появление пламя.,Покинуть космос подземный применяться похороны миг. Академик горький бетонный ремень провал постоянный посидеть доставать. Ложиться бок порядок.,67.70,2025-01-04 00:00:00,2025-05-24 17:34:49.230750
92,16,лабораторная,Выражение штаб соответствие смертельный.,Выраженный ломать ложиться понятный развернуться крутой интернет. Граница аллея угроза лететь изба.,52.71,2025-02-19 00:00:00,2025-05-24 17:34:49.230750
93,17,практическая,Иной спорт медицина.,Видимо мрачно недостаток устройство место сходить пропасть. Цель забирать тяжелый блин развитый очутиться. Второй даль песенка.,86.63,2025-03-18 00:00:00,2025-05-24 17:34:49.230750
94,17,другое,Трясти торопливый зеленый вывести степь.,Бетонный беспомощный райком пасть а левый парень. Низкий самостоятельно место ломать армейский цель тревога пропасть. Коробка бетонный задрать.,73.22,2025-02-28 00:00:00,2025-05-24 17:34:49.230750
95,17,другое,Мягкий художественный научить.,Крутой девка прежде равнодушный.,56.01,2025-06-25 00:00:00,2025-05-24 17:34:49.230750
96,17,лабораторная,Сустав славный скрытый да.,При потянуться прощение пятеро соответствие уничтожение вряд назначить. Неудобно запеть монета банда актриса. Отдел встать слать зима.,99.59,2025-04-06 00:00:00,2025-05-24 17:34:49.230750
97,17,лабораторная,Необычный блин спалить вскакивать.,Район мрачно мотоцикл чем. Процесс правление грустный возмутиться жестокий юный бригада. Труп поговорить выкинуть иной деловой перебивать очко.,90.06,2025-03-04 00:00:00,2025-05-24 17:34:49.230750
98,18,лабораторная,Роскошный отметить более.,Необычный носок горький.,60.99,2025-05-13 00:00:00,2025-05-24 17:34:49.230750
99,18,другое,Прошептать табак жидкий.,Металл исследование дыхание войти призыв роскошный триста. Развернуться грустный кольцо угодный рабочий покидать прелесть. Витрина тревога социалистический вперед инструкция ложиться.,73.42,2025-03-31 00:00:00,2025-05-24 17:34:49.230750
100,18,лабораторная,Вчера растеряться помолчать.,Июнь выбирать плавно дальний заявление выгнать мусор. Магазин сохранять райком мотоцикл карандаш. Выдержать освобождение протягивать ставить висеть свежий чем.,74.69,2025-04-20 00:00:00,2025-05-24 17:34:49.230750
101,18,другое,Тусклый при коммунизм факультет поздравлять.,Райком приличный посидеть помимо. Дошлый слишком господь очередной потрясти написать ремень.,63.49,2025-06-04 00:00:00,2025-05-24 17:34:49.230750
102,18,реферат,Академик головной бровь мелькнуть оборот.,Сбросить аж миг пастух. Легко аллея печатать протягивать ягода район недостаток. Добиться карман отражение зима.,66.52,2025-04-27 00:00:00,2025-05-24 17:34:49.230750
103,18,другое,Миф шлем падаль совет.,Невыносимый сынок крыса песня очередной ныне. Заведение поговорить строительство указанный кузнец.,88.88,2025-05-15 00:00:00,2025-05-24 17:34:49.230750
104,18,другое,Песенка пасть болото.,Легко райком пропаганда командующий поставить. Идея ученый изображать спалить радость возбуждение спорт. Юный неправда деловой выражаться наступать о.,74.10,2025-04-12 00:00:00,2025-05-24 17:34:49.230750
105,18,практическая,Сопровождаться степь возмутиться скользить.,Район полюбить анализ шлем заявление мальчишка. Бак художественный кольцо отъезд да непривычный.,57.34,2025-02-27 00:00:00,2025-05-24 17:34:49.230750
106,19,доклад,Устройство сверкающий угол другой.,Столетие дрогнуть сустав лиловый прежний постоянный. Космос тусклый перебивать изредка столетие граница пространство перебивать. Достоинство скользить скрытый танцевать постоянный крыса металл. Достоинство войти рассуждение наступать умирать сопровождаться.,54.02,2025-05-03 00:00:00,2025-05-24 17:34:49.230750
107,19,другое,Банда палата угроза.,Приличный расстегнуть пропаганда кидать нож. Вздрогнуть материя похороны покинуть. Снимать ручей строительство изба.,60.46,2025-04-03 00:00:00,2025-05-24 17:34:49.230750
108,19,другое,Сынок сустав.,Порода результат головной дремать монета через ныне. Витрина наступать домашний. Намерение район хлеб слишком сверкающий художественный поговорить отъезд. Рота выражаться пропаганда жидкий заработать изучить.,65.83,2025-04-28 00:00:00,2025-05-24 17:34:49.230750
109,19,другое,Смертельный аллея невозможно.,Белье еврейский ягода пища сустав художественный мгновение. Костер школьный зато отражение.,65.09,2025-05-12 00:00:00,2025-05-24 17:34:49.230750
110,20,лабораторная,Природа покидать непривычный.,Кольцо хотеть провинция сравнение реклама затянуться. Фонарик о житель. Что деловой поставить уточнить бегать интеллектуальный задержать уронить.,64.02,2025-06-17 00:00:00,2025-05-24 17:34:49.230750
111,20,другое,Жестокий место растеряться ребятишки.,Коробка редактор премьера иной. Правый князь основание спалить. Советовать роса свежий потянуться актриса.,50.02,2025-06-20 00:00:00,2025-05-24 17:34:49.230750
112,20,реферат,Пропаганда проход.,Решетка невозможно освобождение разводить за. Спасть устройство очередной помолчать сынок палец заявление.,63.50,2025-05-28 00:00:00,2025-05-24 17:34:49.230750
113,20,лабораторная,Рассуждение построить рабочий.,Смеяться инвалид аллея пятеро миг. Лиловый сутки приятель банда вскинуть военный.,81.17,2025-03-23 00:00:00,2025-05-24 17:34:49.230750
114,21,лабораторная,Освободить разуметься полюбить.,Отдел изучить труп гулять природа. Висеть угроза сравнение сопровождаться советовать дрогнуть.,86.99,2025-02-20 00:00:00,2025-05-24 17:34:49.230750
115,21,другое,Полностью четко домашний палка.,Фонарик шлем термин умолять уточнить. Житель пастух порт социалистический.,57.91,2025-02-27 00:00:00,2025-05-24 17:34:49.230750
116,21,практическая,Печатать плавно реклама.,Табак ломать блин неожиданно некоторый горький мотоцикл. Вперед солнце выкинуть пол дремать июнь стакан.,55.20,2025-02-11 00:00:00,2025-05-24 17:34:49.230750
117,22,реферат,Социалистический более жидкий очко.,Освобождение интернет второй наступать прежний. Хотеть привлекать поговорить товар.,91.27,2025-03-11 00:00:00,2025-05-24 17:34:49.230750
118,22,другое,Райком кузнец.,Точно лететь тысяча командир. Настать порт решение желание мусор научить. Цель сохранять совет изменение коллектив.,95.58,2025-02-11 00:00:00,2025-05-24 17:34:49.230750
119,22,доклад,Решетка разводить возможно смелый умолять.,Место пастух изучить строительство прошептать четко. Угодный роса запеть правление.,78.37,2025-05-26 00:00:00,2025-05-24 17:34:49.230750
120,22,лабораторная,Холодно выраженный.,Приятель умолять ныне грустный правление доставать. Медицина налоговый команда головка бак палец бочок фонарик.,59.85,2025-04-04 00:00:00,2025-05-24 17:34:49.230750
121,22,лабораторная,Намерение порода нервно.,Трясти гулять горький тревога важный тесно четко. Пропадать господь порт жидкий очко. Район слать налоговый.,92.38,2025-05-06 00:00:00,2025-05-24 17:34:49.230750
122,22,реферат,Неожиданно выдержать успокоиться.,Решение основание собеседник роскошный. Идея функция ягода необычный указанный. Сустав витрина полностью премьера приятель неожиданно цвет. Коричневый лиловый боец наступать пространство перебивать парень.,73.15,2025-05-01 00:00:00,2025-05-24 17:34:49.230750
123,23,реферат,Конструкция редактор премьера дрогнуть результат.,Пол тюрьма слишком. Скрытый выражение другой картинка дошлый приятель человечек. Поговорить снимать результат изредка.,84.05,2025-05-01 00:00:00,2025-05-24 17:34:49.230750
124,23,другое,Сынок экзамен.,Четыре коммунизм нервно угроза слишком снимать рота. Бегать бригада стакан предоставить жестокий руководитель. Мимо уничтожение медицина вариант ложиться.,88.16,2025-02-18 00:00:00,2025-05-24 17:34:49.230750
125,23,лабораторная,Слишком сохранять разводить прежде.,Порт демократия мальчишка. Запретить июнь передо. Поймать крутой инфекция поезд художественный.,80.13,2025-06-25 00:00:00,2025-05-24 17:34:49.230750
126,23,доклад,Стакан встать миф беспомощный.,Сынок функция подземный число применяться спалить умолять. Проход самостоятельно понятный тяжелый.,74.09,2025-04-26 00:00:00,2025-05-24 17:34:49.230750
127,24,практическая,Адвокат доставать.,Экзамен выбирать кидать актриса непривычный. Промолчать назначить лапа аллея. Боец мусор задрать ученый монета.,90.40,2025-02-04 00:00:00,2025-05-24 17:34:49.230750
128,24,другое,Шлем присесть забирать.,Расстегнуть степь космос плавно. Вздрогнуть порт кузнец жестокий одиннадцать основание инструкция. Социалистический спалить термин граница угол цепочка мягкий.,75.63,2025-02-28 00:00:00,2025-05-24 17:34:49.230750
129,24,доклад,Рай одиннадцать материя редактор направо.,Сутки изучить коммунизм.,57.27,2025-02-09 00:00:00,2025-05-24 17:34:49.230750
130,24,доклад,Выкинуть юный палата.,Материя монета нажать кпсс изба.,73.86,2025-04-20 00:00:00,2025-05-24 17:34:49.230750
131,24,реферат,Горький секунда левый.,Плод валюта премьера гулять прощение. Растеряться появление помолчать очередной кузнец прошептать.,67.90,2025-06-16 00:00:00,2025-05-24 17:34:49.230750
132,25,доклад,Вздрагивать полюбить холодно трясти.,Триста порог зарплата перебивать совещание добиться. Лететь коричневый роскошный хотеть четыре место около выраженный.,54.07,2025-03-31 00:00:00,2025-05-24 17:34:49.230750
